"ISBN","title","author","publisher","category","original-language","country-of-origin","summary-of-content","summary-of-reviews"
"978-1594634024","The Girl on the Train","Paula Hawkins","Riverhead Books","Thriller","English","United Kingdom","A psychological thriller centered on Rachel Watson, an alcoholic who commutes by train and becomes entangled in a missing person investigation that forces her to confront her own unreliable memories.","Praised for its gripping narrative and flawed, relatable protagonist. Critics highlighted the clever use of an unreliable narrator and the suspenseful plot, though some found the ending slightly predictable. It is frequently compared to 'Gone Girl' for its similar themes and suspenseful tone."
"978-1609450786","My Brilliant Friend","Elena Ferrante","Europa Editions","Fiction","Italian","Italy","The first in the Neapolitan Novels series, it covers the lives and complex friendship of two girls, Elena and Lila, growing up in a poor neighborhood in Naples, Italy, in the 1950s.","Widely acclaimed for its profound and unflinching portrayal of female friendship. Reviewers praised Ferrante's raw and honest writing, the depth of the characters, and the vivid depiction of post-war Naples. Some readers found the detailed narrative and large cast of characters challenging at times."
"978-1476738024","A Man Called Ove","Fredrik Backman","Atria Books","Fiction","Swedish","Sweden","A heartwarming story about a grumpy but lovable widower whose solitary and meticulously organized life is disrupted when a young family moves in next door, leading to unexpected friendships.","Overwhelmingly positive reviews praise its charm, humor, and touching exploration of love, loss, and community. Critics and readers alike found the protagonist, Ove, to be an unforgettable character. Some reviewers noted its sentimental tone but found it to be a genuinely moving and uplifting read."
"978-1250301697","The Silent Patient","Alex Michaelides","Celadon Books","Thriller","English","Cyprus","A psychotherapist, Theo Faber, is determined to unravel the mystery of his famous patient, Alicia Berenson, a painter who has gone silent after allegedly murdering her husband.","Highly praised for its clever plotting and a shocking twist ending that caught many readers by surprise. Critics lauded it as a well-crafted and suspenseful psychological thriller. Some reviewers found the character development secondary to the plot, but the consensus was that it is a compelling and unputdownable read."
"978-0571334650","Normal People","Sally Rooney","Faber & Faber","Fiction","English","Ireland","Follows the complex and intermittent relationship of two Irish teenagers, Connell and Marianne, from different social backgrounds, as they navigate adolescence, social class, and their undeniable connection.","Critically acclaimed for its insightful and realistic portrayal of modern relationships, intimacy, and communication. Rooney's minimalist prose and sharp dialogue were widely praised. Some critics found the characters' indecisiveness frustrating, but most found it to be a poignant and powerful love story."
"978-1984880987","The Thursday Murder Club","Richard Osman","Viking","Cozy Mystery","English","United Kingdom","In a peaceful retirement village, four friends—Elizabeth, Joyce, Ibrahim, and Ron—meet weekly to investigate unsolved murders for fun. They find themselves in the middle of a real-life crime when a local developer is found dead.","Extremely popular and well-received for its humor, charming characters, and clever plot. Reviewers highlighted the witty dialogue and the endearing nature of the elderly sleuths. Some critics noted that the tone is light, but most agreed it is a delightful and entertaining read."
"978-1529019278","Shuggie Bain","Douglas Stuart","Grove Press","Fiction","English","United Kingdom (Scotland)","Set in 1980s Glasgow, this novel is a heartbreaking story of a young boy, Shuggie, growing up in poverty with his alcoholic mother, Agnes. It's a portrayal of addiction, love, and the challenges of a working-class family.","Winner of the 2020 Booker Prize, it received widespread critical acclaim for its powerful and evocative prose, its unflinching depiction of addiction, and its moving portrayal of a mother-son relationship. It has been described as a tough but ultimately rewarding and beautifully written novel."
"978-0593318171","Klara and the Sun","Kazuo Ishiguro","Knopf Publishing Group","Science Fiction","English","United Kingdom","Narrated by Klara, an 'Artificial Friend' with remarkable observational qualities, the novel explores themes of love, humanity, and what it means to be human in a technologically advanced world, as she awaits a customer to choose her.","Praised for its poignant and thought-provoking narrative. Ishiguro's gentle prose and the unique perspective of the AF narrator were highlighted by many critics. Some reviewers found the plot to be slow-paced, but most were deeply moved by the novel's emotional depth and philosophical questions."
"978-0525657606","Hamnet","Maggie O'Farrell","Knopf Publishing Group","Historical Fiction","English","United Kingdom (Northern Ireland)","A fictionalized account of the life of William Shakespeare's son, Hamnet, who died at the age of eleven, and the profound impact of his death on his family, particularly his wife, Agnes, and the writing of the play 'Hamlet'.","Critically acclaimed for its beautiful prose, emotional depth, and imaginative storytelling. O'Farrell's portrayal of Agnes and the depiction of grief were particularly praised. It was lauded as a stunning and heartbreaking work of historical fiction."
"978-0802156983","Girl, Woman, Other","Bernardine Evaristo","Grove Press","Fiction","English","United Kingdom","This novel follows the lives and struggles of twelve interconnected characters, mostly black British women, over several decades. It explores themes of identity, race, feminism, and sexuality.","Winner of the 2019 Booker Prize, it was celebrated for its innovative style, vibrant characters, and polyphonic narrative. Critics praised its humor, energy, and insightful exploration of the black British experience. The experimental prose style was noted, with some finding it highly effective and others less so."
"978-2072893098","L'Anomalie","Hervé Le Tellier","Éditions Gallimard","Science Fiction","French","France","A thought-provoking novel that begins with a turbulent Air France flight from Paris to New York. The passengers and crew later discover that their plane, and everyone on it, has duplicated, leading to a global crisis and philosophical questions about reality and identity.","Winner of the 2020 Prix Goncourt, it was praised for its originality, intelligence, and a plot that blends suspense, humor, and philosophical inquiry. Critics enjoyed the blend of genres and the engaging cast of characters, though some found the ending open to interpretation."
